Renda,Idade,Tipo_Emprego,Peso_Amostral,Escolaridade,Escolaridade_Anos,Estado_Civil,Ocupacao,Papel_Familiar,Raca,Genero,Ganho_Capital,Perda_Capital,Horas_por_Semana,Pais_Origem
Ate_50k,90,,77053,Medio_Completo,9,Viuvo,,Fora_da_Familia,Branca,Feminino,0,4356,40,EUA
Ate_50k,82,Privado,132870,Medio_Completo,9,Viuvo,Executivo_Gerencia,Fora_da_Familia,Branca,Feminino,0,4356,18,EUA
Ate_50k,66,,186061,Superior_Incompleto,10,Viuvo,,Nao_Casado,Preta,Feminino,0,4356,40,EUA
Ate_50k,54,Privado,140359,Fundamental_7a8,4,Divorciado,Operador_Maquina,Nao_Casado,Branca,Feminino,0,3900,40,EUA
Ate_50k,41,Privado,264663,Superior_Incompleto,10,Separado,Profissional_Especializado,Filho,Branca,Feminino,0,3900,40,EUA
Ate_50k,34,Privado,216864,Medio_Completo,9,Divorciado,Servicos_Gerais,Nao_Casado,Branca,Feminino,0,3770,45,EUA
Ate_50k,38,Privado,150601,Medio_1,6,Separado,Administrativo,Nao_Casado,Branca,Masculino,0,3770,40,EUA
Acima_50k,74,Gov_Estadual,88638,Doutorado,16,Solteiro,Profissional_Especializado,Outro_Parente,Branca,Feminino,0,3683,20,EUA
Ate_50k,68,Gov_Federal,422013,Medio_Completo,9,Divorciado,Profissional_Especializado,Fora_da_Familia,Branca,Feminino,0,3683,40,EUA
Acima_50k,41,Privado,70037,Superior_Incompleto,10,Solteiro,Reparos_Manuais,Nao_Casado,Branca,Masculino,0,3004,60,
Acima_50k,45,Privado,172274,Doutorado,16,Divorciado,Profissional_Especializado,Nao_Casado,Preta,Feminino,0,3004,35,EUA
Acima_50k,38,Autonomo,164526,Especializacao,15,Solteiro,Profissional_Especializado,Fora_da_Familia,Branca,Masculino,0,2824,45,EUA
Acima_50k,52,Privado,129177,Graduacao,13,Viuvo,Servicos_Gerais,Fora_da_Familia,Branca,Feminino,0,2824,20,EUA
Acima_50k,32,Privado,136204,Mestrado,14,Separado,Executivo_Gerencia,Fora_da_Familia,Branca,Masculino,0,2824,55,EUA
Acima_50k,51,,172175,Doutorado,16,Solteiro,,Fora_da_Familia,Branca,Masculino,0,2824,40,EUA
Acima_50k,46,Privado,45363,Especializacao,15,Divorciado,Profissional_Especializado,Fora_da_Familia,Branca,Masculino,0,2824,40,EUA
Acima_50k,45,Privado,172822,Medio_2,7,Divorciado,Transporte,Fora_da_Familia,Branca,Masculino,0,2824,76,EUA
Acima_50k,57,Privado,317847,Mestrado,14,Divorciado,Executivo_Gerencia,Fora_da_Familia,Branca,Masculino,0,2824,50,EUA
Acima_50k,22,Privado,119592,Tecnologo,12,Solteiro,Auxiliar_Limpeza,Fora_da_Familia,Preta,Masculino,0,2824,40,
Acima_50k,34,Privado,203034,Graduacao,13,Separado,Vendas,Fora_da_Familia,Branca,Masculino,0,2824,50,EUA
Acima_50k,37,Privado,188774,Graduacao,13,Solteiro,Executivo_Gerencia,Fora_da_Familia,Branca,Masculino,0,2824,40,EUA
Ate_50k,29,Privado,77009,Medio_2,7,Separado,Vendas,Fora_da_Familia,Branca,Feminino,0,2754,42,EUA
Ate_50k,61,Privado,29059,Medio_Completo,9,Divorciado,Vendas,Nao_Casado,Branca,Feminino,0,2754,25,EUA
Ate_50k,51,Privado,153870,Superior_Incompleto,10,Casado,Transporte,Marido,Branca,Masculino,0,2603,40,EUA
Ate_50k,61,,135285,Medio_Completo,9,Casado,,Marido,Branca,Masculino,0,2603,32,EUA
Ate_50k,21,Privado,34310,Tecnico,11,Casado,Reparos_Manuais,Marido,Branca,Masculino,0,2603,40,EUA
Ate_50k,33,Privado,228696,Fundamental_1a4,2,Casado,Reparos_Manuais,Fora_da_Familia,Branca,Masculino,0,2603,32,Mexico
Ate_50k,49,Privado,122066,Fundamental_5a6,3,Casado,Servicos_Gerais,Marido,Branca,Masculino,0,2603,40,Grecia
Acima_50k,37,Empresario,107164,Medio_1,6,Solteiro,Transporte,Fora_da_Familia,Branca,Masculino,0,2559,50,EUA
Acima_50k,38,Privado,175360,Medio_1,6,Solteiro,Profissional_Especializado,Fora_da_Familia,Branca,Masculino,0,2559,90,EUA
Acima_50k,23,Privado,44064,Superior_Incompleto,10,Separado,Servicos_Gerais,Fora_da_Familia,Branca,Masculino,0,2559,40,EUA
Acima_50k,59,Empresario,107287,Medio_1,6,Viuvo,Executivo_Gerencia,Nao_Casado,Branca,Feminino,0,2559,50,EUA
Acima_50k,52,Privado,198863,Especializacao,15,Divorciado,Executivo_Gerencia,Fora_da_Familia,Branca,Masculino,0,2559,60,EUA
Acima_50k,51,Privado,123011,Graduacao,13,Divorciado,Executivo_Gerencia,Fora_da_Familia,Branca,Masculino,0,2559,50,EUA
Acima_50k,60,Autonomo,205246,Medio_Completo,9,Solteiro,Executivo_Gerencia,Fora_da_Familia,Preta,Masculino,0,2559,50,EUA
Acima_50k,63,Gov_Federal,39181,Doutorado,16,Divorciado,Executivo_Gerencia,Fora_da_Familia,Branca,Feminino,0,2559,60,EUA
Acima_50k,53,Privado,149650,Medio_Completo,9,Solteiro,Vendas,Fora_da_Familia,Branca,Masculino,0,2559,48,EUA
Acima_50k,51,Privado,197163,Especializacao,15,Solteiro,Profissional_Especializado,Fora_da_Familia,Branca,Feminino,0,2559,50,EUA
Acima_50k,37,Autonomo,137527,Doutorado,16,Solteiro,Profissional_Especializado,Fora_da_Familia,Branca,Feminino,0,2559,60,EUA
Acima_50k,54,Privado,161691,Mestrado,14,Divorciado,Profissional_Especializado,Fora_da_Familia,Branca,Feminino,0,2559,40,EUA
Acima_50k,44,Privado,326232,Graduacao,13,Divorciado,Executivo_Gerencia,Nao_Casado,Branca,Masculino,0,2547,50,EUA
Acima_50k,43,Privado,115806,Mestrado,14,Divorciado,Executivo_Gerencia,Nao_Casado,Branca,Feminino,0,2547,40,EUA
Acima_50k,51,Privado,115066,Superior_Incompleto,10,Divorciado,Administrativo,Nao_Casado,Branca,Feminino,0,2547,40,EUA
Acima_50k,43,Privado,289669,Mestrado,14,Divorciado,Profissional_Especializado,Nao_Casado,Branca,Feminino,0,2547,40,EUA
Ate_50k,71,,100820,Medio_Completo,9,Casado,,Marido,Branca,Masculino,0,2489,15,EUA
Acima_50k,48,Privado,121253,Graduacao,13,Casado_Ausente,Vendas,Nao_Casado,Branca,Feminino,0,2472,70,EUA
Ate_50k,71,Privado,110380,Medio_Completo,9,Casado,Vendas,Marido,Branca,Masculino,0,2467,52,EUA
Ate_50k,73,Autonomo,233882,Medio_Completo,9,Casado,Agricultura_Pesca,Marido,Asiatica,Masculino,0,2457,40,Vietna
Ate_50k,68,,192052,Superior_Incompleto,10,Casado,,Esposa,Branca,Feminino,0,2457,40,EUA
Ate_50k,67,,174995,Superior_Incompleto,10,Casado,,Marido,Branca,Masculino,0,2457,40,EUA
Acima_50k,40,Autonomo,335549,Especializacao,15,Solteiro,Profissional_Especializado,Fora_da_Familia,Branca,Masculino,0,2444,45,EUA
Acima_50k,50,Privado,237729,Medio_Completo,9,Viuvo,Vendas,Fora_da_Familia,Branca,Feminino,0,2444,72,EUA
Acima_50k,51,Gov_Estadual,68898,Tecnico,11,Divorciado,Suporte_Tecnico,Fora_da_Familia,Branca,Masculino,0,2444,39,EUA
Acima_50k,42,Privado,107276,Superior_Incompleto,10,Solteiro,Executivo_Gerencia,Fora_da_Familia,Branca,Feminino,0,2444,40,EUA
Acima_50k,39,Privado,141584,Mestrado,14,Solteiro,Vendas,Fora_da_Familia,Branca,Masculino,0,2444,45,EUA
Acima_50k,32,Privado,207668,Graduacao,13,Solteiro,Executivo_Gerencia,Outro_Parente,Branca,Masculino,0,2444,50,EUA
Acima_50k,53,Privado,313243,Superior_Incompleto,10,Separado,Reparos_Manuais,Fora_da_Familia,Branca,Masculino,0,2444,45,EUA
Acima_50k,40,Gov_Local,147372,Superior_Incompleto,10,Solteiro,Seguranca,Fora_da_Familia,Branca,Masculino,0,2444,40,EUA
Acima_50k,38,Privado,237608,Graduacao,13,Solteiro,Vendas,Fora_da_Familia,Branca,Feminino,0,2444,45,EUA
Acima_50k,33,Privado,194901,Tecnico,11,Separado,Reparos_Manuais,Fora_da_Familia,Branca,Masculino,0,2444,42,EUA
Acima_50k,43,Privado,155106,Tecnologo,12,Divorciado,Reparos_Manuais,Fora_da_Familia,Branca,Masculino,0,2444,70,EUA
Acima_50k,50,Empresario,121441,Medio_2,7,Solteiro,Executivo_Gerencia,Outro_Parente,Branca,Masculino,0,2444,40,EUA
Acima_50k,44,Privado,162028,Superior_Incompleto,10,Casado,Administrativo,Esposa,Branca,Feminino,0,2415,6,EUA
Acima_50k,51,Autonomo,160724,Graduacao,13,Casado,Vendas,Marido,Asiatica,Masculino,0,2415,40,China
Acima_50k,41,Privado,132222,Especializacao,15,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,40,EUA
Acima_50k,60,Empresario,226355,Tecnico,11,Casado,Operador_Maquina,Marido,Branca,Masculino,0,2415,70,
Acima_50k,37,Privado,329980,Mestrado,14,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2415,60,EUA
Acima_50k,55,Empresario,124137,Especializacao,15,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,35,Grecia
Acima_50k,39,Empresario,329980,Graduacao,13,Casado,Vendas,Marido,Branca,Masculino,0,2415,60,EUA
Acima_50k,42,Empresario,187702,Especializacao,15,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,60,EUA
Acima_50k,49,Privado,199029,Graduacao,13,Casado,Vendas,Marido,Branca,Masculino,0,2415,55,EUA
Acima_50k,47,Autonomo,145290,Medio_Completo,9,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2415,50,EUA
Acima_50k,41,Gov_Local,297248,Especializacao,15,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,45,EUA
Acima_50k,55,Empresario,227856,Graduacao,13,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2415,50,EUA
Acima_50k,39,Privado,179731,Mestrado,14,Casado,Executivo_Gerencia,Esposa,Branca,Feminino,0,2415,65,EUA
Acima_50k,42,Privado,154374,Graduacao,13,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2415,60,EUA
Acima_50k,41,,27187,Tecnico,11,Casado,,Marido,Branca,Masculino,0,2415,12,EUA
Acima_50k,46,Privado,326857,Mestrado,14,Casado,Vendas,Marido,Branca,Masculino,0,2415,65,EUA
Acima_50k,40,Privado,160369,Mestrado,14,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2415,45,EUA
Acima_50k,32,Privado,396745,Graduacao,13,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,48,EUA
Acima_50k,41,Empresario,151089,Superior_Incompleto,10,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2415,55,EUA
Acima_50k,60,Empresario,336188,Especializacao,15,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,80,EUA
Acima_50k,31,Privado,279015,Mestrado,14,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2415,70,Taiwan
Acima_50k,58,Autonomo,43221,Superior_Incompleto,10,Casado,Agricultura_Pesca,Marido,Branca,Masculino,0,2415,40,EUA
Acima_50k,37,Empresario,30529,Graduacao,13,Casado,Vendas,Marido,Branca,Masculino,0,2415,50,EUA
Acima_50k,44,Autonomo,201742,Graduacao,13,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2415,50,EUA
Acima_50k,39,Autonomo,218490,Especializacao,15,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,50,
Acima_50k,43,Gov_Federal,156996,Especializacao,15,Casado,Profissional_Especializado,Marido,Asiatica,Masculino,0,2415,55,
Acima_50k,55,Empresario,298449,Graduacao,13,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2415,50,EUA
Acima_50k,44,Empresario,191712,Mestrado,14,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,55,EUA
Acima_50k,39,Privado,198654,Especializacao,15,Casado,Profissional_Especializado,Marido,Asiatica,Masculino,0,2415,67,India
Acima_50k,46,Autonomo,102308,Graduacao,13,Casado,Vendas,Marido,Branca,Masculino,0,2415,40,EUA
Acima_50k,39,Privado,348521,Superior_Incompleto,10,Casado,Agricultura_Pesca,Marido,Branca,Masculino,0,2415,99,EUA
Acima_50k,62,Empresario,56248,Graduacao,13,Casado,Agricultura_Pesca,Marido,Branca,Masculino,0,2415,60,EUA
Acima_50k,31,Autonomo,252752,Medio_Completo,9,Casado,Servicos_Gerais,Esposa,Branca,Feminino,0,2415,40,EUA
Acima_50k,46,Privado,192963,Graduacao,13,Casado,Administrativo,Marido,Asiatica,Masculino,0,2415,35,Filipinas
Acima_50k,46,Autonomo,198759,Especializacao,15,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,80,EUA
Acima_50k,39,Empresario,143123,Tecnico,11,Casado,Reparos_Manuais,Marido,Branca,Masculino,0,2415,40,EUA
Acima_50k,39,Privado,237713,Especializacao,15,Casado,Vendas,Marido,Branca,Masculino,0,2415,99,EUA
Acima_50k,59,Privado,81929,Doutorado,16,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,45,EUA
Acima_50k,50,Empresario,167793,Especializacao,15,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,60,EUA
Acima_50k,46,Privado,456062,Doutorado,16,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,55,EUA
Acima_50k,53,Autonomo,105478,Graduacao,13,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2415,40,EUA
Acima_50k,50,Autonomo,42402,Especializacao,15,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,30,EUA
Acima_50k,41,Empresario,114580,Especializacao,15,Casado,Executivo_Gerencia,Esposa,Branca,Feminino,0,2415,55,EUA
Acima_50k,36,Privado,346478,Graduacao,13,Casado,Vendas,Marido,Branca,Masculino,0,2415,45,EUA
Acima_50k,38,Privado,187870,Especializacao,15,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,90,EUA
Acima_50k,54,Privado,35576,Superior_Incompleto,10,Casado,Vendas,Marido,Branca,Masculino,0,2415,50,EUA
Acima_50k,50,Privado,102346,Graduacao,13,Casado,Executivo_Gerencia,Esposa,Branca,Feminino,0,2415,20,EUA
Acima_50k,47,Privado,148995,Graduacao,13,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2415,60,EUA
Acima_50k,47,Empresario,102308,Especializacao,15,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2415,45,EUA
Acima_50k,67,Privado,105252,Graduacao,13,Viuvo,Executivo_Gerencia,Fora_da_Familia,Branca,Masculino,0,2392,40,EUA
Acima_50k,67,Empresario,106175,Graduacao,13,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2392,75,EUA
Acima_50k,72,Autonomo,52138,Doutorado,16,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2392,25,EUA
Acima_50k,72,,118902,Doutorado,16,Casado,,Marido,Branca,Masculino,0,2392,6,EUA
Acima_50k,46,Empresario,191978,Mestrado,14,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2392,50,EUA
Acima_50k,78,Empresario,188044,Graduacao,13,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2392,40,EUA
Acima_50k,71,Empresario,66624,Graduacao,13,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2392,60,EUA
Acima_50k,83,Empresario,153183,Graduacao,13,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2392,55,EUA
Acima_50k,68,Privado,211287,Mestrado,14,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2392,40,EUA
Ate_50k,26,Privado,181655,Tecnico,11,Casado,Administrativo,Marido,Branca,Masculino,0,2377,45,EUA
Acima_50k,68,Gov_Estadual,235882,Doutorado,16,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2377,60,EUA
Acima_50k,49,Empresario,158685,Medio_Completo,9,Casado,Administrativo,Esposa,Branca,Feminino,0,2377,40,EUA
Ate_50k,36,Privado,370767,Medio_Completo,9,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2377,60,EUA
Acima_50k,70,Autonomo,155141,Graduacao,13,Casado,Reparos_Manuais,Marido,Branca,Masculino,0,2377,12,EUA
Ate_50k,27,Privado,156516,Superior_Incompleto,10,Casado,Administrativo,Esposa,Preta,Feminino,0,2377,20,EUA
Ate_50k,35,Gov_Local,177305,Superior_Incompleto,10,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2377,40,EUA
Ate_50k,23,Privado,162945,Medio_Completo,9,Casado,Vendas,Marido,Branca,Masculino,0,2377,40,EUA
Acima_50k,81,Privado,177408,Medio_Completo,9,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2377,26,EUA
Acima_50k,66,Autonomo,427422,Doutorado,16,Casado,Vendas,Marido,Branca,Masculino,0,2377,25,EUA
Acima_50k,71,Privado,152307,Medio_Completo,9,Casado,Executivo_Gerencia,Marido,Branca,Masculino,0,2377,45,EUA
Acima_50k,68,Privado,218637,Superior_Incompleto,10,Casado,Vendas,Marido,Branca,Masculino,0,2377,55,EUA
Acima_50k,68,Gov_Estadual,202699,Mestrado,14,Casado,Profissional_Especializado,Marido,Branca,Masculino,0,2377,42,
